"astro-ph/0410281","Max Tegmark","Max Tegmark","What does inflation really predict?","Replaced to match accepted JCAP version. Improved discussion,
  references. 42 pages, 17 figs","JCAP 0504:001,2005","10.1088/1475-7516/2005/04/001",,"astro-ph gr-qc hep-th",,"  If the inflaton potential has multiple minima, as may be expected in, e.g.,
the string theory ""landscape"", inflation predicts a probability distribution
for the cosmological parameters describing spatial curvature (Omega_tot), dark
energy (rho_Lambda, w, etc.), the primordial density fluctuations (Omega_tot,
dark energy (rho_Lambda, w, etc.). We compute this multivariate probability
distribution for various classes of single-field slow-roll models, exploring
its dependence on the characteristic inflationary energy scales, the shape of
the potential V and and the choice of measure underlying the calculation. We
find that unless the characteristic scale Delta-phi on which V varies happens
to be near the Planck scale, the only aspect of V that matters observationally
is the statistical distribution of its peaks and troughs. For all energy scales
and plausible measures considered, we obtain the predictions Omega_tot ~
1+-0.00001, w=-1 and rho_Lambda in the observed ballpark but uncomfortably
high. The high energy limit predicts n_s ~ 0.96, dn_s/dlnk ~ -0.0006, r ~ 0.15
and n_t ~ -0.02, consistent with observational data and indistinguishable from
eternal phi^2-inflation. The low-energy limit predicts 5 parameters but prefers
larger Q and redder n_s than observed. We discuss the coolness problem, the
smoothness problem and the pothole paradox, which severely limit the viable
class of models and measures. Our findings bode well for detecting an
inflationary gravitational wave signature with future CMB polarization
experiments, with the arguably best-motivated single-field models favoring the
detectable level r ~ 0.03. (Abridged)
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 19:41:44 GMT""},{""version"":""v2"",""created"":""Fri, 11 Mar 2005 21:00:28 GMT""}]","2009-10-07"
"hep-ph/0410181","Shrihari Gopalakrishna","Shrihari Gopalakrishna and C.-P. Yuan","B-meson signatures of a Supersymmetric U(2) flavor model","37 pages, 21 figures, RevTeX4; v.2 - minor modifications to improve
  readability. Published version","Phys.Rev.D71:035012,2005","10.1103/PhysRevD.71.035012",,"hep-ph",,"  We discuss B-meson signatures of a Supersymmetric U(2) flavor model, with
relatively light (electroweak scale masses) third generation right-handed
scalars. We impose current B and K meson experimental constraints on such a
theory, and obtain expectations for B->X_s gamma, B->X_s glue, B->X_s l+ l-,
B->phi K_s, B_s-B_sbar mixing, and the dilepton asymmetry in B_s. We show that
such a theory is compatible with all current data, and furthermore, could
reconcile the apparent deviations from Standard Model predictions that have
been found in some experiments.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 22:00:40 GMT""},{""version"":""v2"",""created"":""Fri, 18 Feb 2005 00:47:06 GMT""}]","2011-03-23"
"hep-ph/0410183","Motohiko Yoshimura","M. Yoshimura","Towards Resolution of Hierarchy Problems in a Cosmological Context","12 pages, no figure","Phys.Lett. B608 (2005) 183-188","10.1016/j.physletb.2005.01.025",,"hep-ph astro-ph hep-th",,"  A cosmological scenario is proposed, which simultaneously solves the mass
hierarchy and the small dark energy problem. In the present scenario an
effective gravity mass scale (inverse of the Newton's constant) increases
during the inflationary period. The small cosmological constant or the dark
energy density in the present universe is dynamically realized by introducing
two, approximately O(2) symmetric dilatons, taking the fundamental mass scale
at TeV.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 02:22:18 GMT""}]","2009-11-10"
"hep-ph/0410184","Mary Hall Reno","S. Kretzer (RIKEN-BNL and Brookhaven), M. H. Reno (Univ. of Iowa)","$\sigma_{DIS}(\nu N)$, NLO Perturbative QCD and O(1 GeV) Mass
  Corrections","6 pages, 7 figures, Talk given at 3rd International Workshop on
  Neutrino Nucleus Interactions in the Few GeV Region (NuInt04), Gran Sasso,
  Assergi, Italy, 17-21 Mar 2004",,"10.1016/j.nuclphysbps.2004.11.237",,"hep-ph",,"  The deep-inelastic neutrino-nucleon cross section is one of the components of
few GeV neutrino interactions. We present here our results for
neutrino-isoscalar nucleon charged current scattering including perturbative
next-to-leading order QCD corrections, target mass corrections, charm mass and
lepton mass corrections.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 04:09:23 GMT""}]","2009-11-10"
"hep-ph/0410185","Roberto Ugoccioni","Alberto Giovannini and Roberto Ugoccioni","Clan structure analysis and new physics signals in pp collisions at LHC","9 pages, talk given at Focus on Multiplicity (Bari, Italy, June 2004)","J.Phys.Conf.Ser.5:190-198,2005","10.1088/1742-6596/5/1/017",,"hep-ph",,"  The study of possible new physics signals in global event properties in pp
collisions in full phase space and in rapidity intervals accessible at LHC is
presented. The main characteristic is the presence of an elbow structure in
final charged particle MD's in addition to the shoulder observed at lower c.m.
energies.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 09:33:35 GMT""}]","2011-03-23"
"hep-ph/0410186","Roberto Ugoccioni","Roberto Ugoccioni and Alberto Giovannini","Scenarios for multiplicity distributions in pp collisions in the TeV
  energy region","10 pages, 10 figures, talk given at ""Focus on Multiplicity"" (Bari,
  Italy, June 2004)","J.Phys.Conf.Ser.5:199-208,2005","10.1088/1742-6596/5/1/018",,"hep-ph",,"  Possible scenarios based on available experimental data and phenomenological
knowledge of the GeV energy region are extended to the TeV energy region in the
framework of the weighted superposition mechanism of soft and semi-hard events.
KNO scaling violations, forward-backward multiplicity correlations, Hq vs. q
oscillations and shoulder structures are discussed.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 09:40:13 GMT""}]","2011-03-23"
"hep-ph/0410187","Roger Horsley","M. G\""ockeler, R. Horsley, D. Pleiter, P.E.L. Rakow, G. Schierholz","A lattice determination of moments of unpolarised nucleon structure
  functions using improved Wilson fermions","LaTeX, 66 pages, 22 figures","Phys.Rev.D71:114511,2005","10.1103/PhysRevD.71.114511","DESY 04-194, Edinburgh 2004/24, LTH 638, LU-ITP 2004/039","hep-ph hep-lat",,"  Within the framework of quenched lattice QCD and using O(a) improved Wilson
fermions and non-perturbative renormalisation, a high statistics computation of
low moments of the unpolarised nucleon structure functions is given. Particular
attention is paid to the chiral and continuum extrapolations.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 10:46:42 GMT""}]","2008-11-26"
"hep-ph/0410188","Simon Dalley","J. Bratt, S. Dalley, B. van de Sande, and E. M. Watson","Small-x Behaviour of Lightcone Wavefunctions in Transverse Lattice Gauge
  Theory","20 pages","Phys.Rev. D70 (2004) 114502","10.1103/PhysRevD.70.114502",,"hep-ph",,"  We study the behaviour of lightcone wavefunctions, in coarse transverse
lattice gauge theory, when one or more parton lightcone momenta are small. This
probes the limit of hadron structure at large and small Bjorken x.
Finite-energy boundary conditions on boundstates allow one to derive the
analytic form of wavefunctions in this region. This leads to simple, universal
predictions for the behaviour of quark generalised parton distributions near
their endpoints. For the first few meson wavefunctions at large N_c, we give
the simplest ansatz that incorporates all the boundary conditions.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 11:18:12 GMT""}]","2009-11-10"
"hep-ph/0410189","A. F. W. van Hameren","A. van Hameren and C.G. Papadopoulos","Challenges in calculations for multi-particle processes","14 pages. Presented at the final meeting of the European Network
  ``Physics at Colliders'', Montpellier, September 26-27, 2004","Acta Phys.Polon. B35 (2004) 2601-2615",,,"hep-ph",,"  The physics of high-energy collider experiments asks for delicate comparisons
between theoretical predictions and experimental data. Signals and potential
backgrounds for new physics have to be predicted at sufficient accuracy. The
accuracy as well as the computational complexity of the calculations leading to
the predictions depend on both the number of external particles in the process
analyzed and the order of the quantum corrections, the number of loops,
included in the calculation. We present some approaches to problems occurring
in these calculations regarding the integration of phase-space and the
inclusion of one-loop corrections.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 12:11:02 GMT""}]","2007-05-23"
"hep-ph/0410190","Claudio Coriano","Alessandro Cafarella, Claudio Coriano', T. N. Tomaras","Searching for Extra Dimensions in High Energy Cosmic Rays","4 pages, 4 figures, Presented by C. Coriano' at the XIII Intl. Symp.
  on High Energy Cosmic Rays Interactions, Pylos, Greece, 6-12 Sept. 2004",,"10.1016/j.nuclphysbps.2005.07.045",,"hep-ph astro-ph",,"  We present a study of the decay of an intermediate mini black hole at the
first impact of a cosmic ray particle with the atmosphere, in the context of
D-brane world scenarios with TeV scale gravity and large extra dimensions. We
model the decay of the black hole using the semiclassical approximation and
include the corrections coming from energy loss into the bulk. Extensive
simulations show that mini black hole events are characterized by essentially
different multiplicities and wider lateral distributions of the air showers as
a function of the energy of the incoming primary, as compared to standard
events. Implications for their detection and some open issues on their possible
discovery are also briefly addressed.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 15:29:54 GMT""},{""version"":""v2"",""created"":""Wed, 27 Oct 2004 15:11:08 GMT""}]","2015-06-25"
"hep-ph/0410191","Sergio Scopetta","Sergio Scopetta, Vicente Vento","Helicity-dependent generalized parton distributions and composite
  constituent quarks","49 pages, discussion enlarged, a figure added, references added,
  results unchanged. Final version to appear in Phys. Rev. D","Phys.Rev. D71 (2005) 014014","10.1103/PhysRevD.71.014014","IFIC 04-54","hep-ph nucl-th",,"  An approach, recently proposed to calculate the nucleon generalized parton
distributions (GPDs) in a constituent quark model (CQM) scenario, in which the
constituent quarks are taken as complex systems, is used to obtain
helicity-dependent GPDs. They are obtained from the wave functions of the non
relativistic CQM of Isgur and Karl, convoluted with the helicity-dependent GPDs
of the constituent quarks themselves. The latter are modelled by using the
polarized structure functions of the constituent quark, the double distribution
representation of GPDs, and a phenomenological constituent quark form factor.
The present approach permits to access a kinematical range corresponding to
both the Dokshitzer-Gribov-Lipatov-Altarelli-Parisi and the
Efremov-Radyushkin-Brodsky-Lepage regions, for small values of the momentum
transfer and of the skewedness parameter. In this kinematical region, the
present calculation represents a prerequisite for the evaluation of cross
sections relevant to deeply virtual Compton scattering. In particular, we have
calculated the leading twist helicity-dependent GPD \tilde H and, from our
expressions, its general relations with the non relativistic definition of the
axial form factor and with the leading twist polarized quark density are
consistently recovered.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 14:13:22 GMT""},{""version"":""v2"",""created"":""Tue, 28 Dec 2004 15:00:47 GMT""}]","2009-11-10"
"hep-ph/0410192","Amarjit Soni","Thomas E. Browder and Amarjit Soni","Search for New Physics at a Super-B Factory","Invited plenary talk at the Workshop on High Energy Physics
  Phenomenology (WHEPP8), Indian Inst. of Technology, Mumbai, India Jan.
  5-16,2004. Corrected typos; minor changes and added references","Pramana 63:1171-1194,2004","10.1007/BF02704889","BNL-HET-04/20","hep-ph",,"  The importance of a Super-B Factory in the search for New Physics, in
particular, due to CP-od phase(s) from physics beyond the Standard Model is
surveyed. The first point to emphasize is that we know now how to directly
measure all three angles of the unitarity triangle very cleanly, {\it i.e.
without theoretical assumptions} with {\it irreducible theory error $ \lsim
1%$}; however this requires much more luminosity than is currently available at
B-factories. Direct searches via penguin-dominated hadronic modes as well as
radiative, pair-leptonic and semi-leptonic decays are also discussed. {\bf Null
tests of the SM} are stressed as these will play a crucial role especially if
the effects of BSM phase(s) on B-physics are small.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 14:04:22 GMT""},{""version"":""v2"",""created"":""Mon, 29 Nov 2004 23:48:24 GMT""}]","2010-11-23"
"hep-ph/0410193","Shusaku Noda","Yutaka Hosotani, Shusaku Noda and Kazunori Takenaga","Dynamical Gauge-Higgs Unification in the Electroweak Theory","14 pages, 3 figures, v.3","Phys.Lett.B607:276-285,2005","10.1016/j.physletb.2004.12.029",,"hep-ph",,"  $SU(2)_L$ doublet Higgs fields are unified with gauge fields in the $U(3)_s
\times U(3)_w$ model of Antoniadis, Benakli and Quir\'{o}s' on the orbifold
$M^4 \times (T^2/Z_2)$. The effective potential for the Higgs fields (the
Wilson line phases) is evaluated. The electroweak symmetry is dynamically
broken to $U(1)_{EM}$ by the Hosotani mechanism. There appear light Higgs
particles. There is a phase transition as the moduli parameter of the complex
structure of $T^2$ is varied.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 14:39:16 GMT""},{""version"":""v2"",""created"":""Mon, 18 Oct 2004 14:02:51 GMT""},{""version"":""v3"",""created"":""Wed, 1 Dec 2004 12:01:34 GMT""}]","2010-11-05"
"hep-ph/0410194","Leonid Glozman","L. Ya. Glozman","Restoration of chiral symmetry in excited hadrons","Lectures given at the XLIV Cracow School of Theoretical Physics,
  Zakopane, Poland, 28.05 - 06.06.2004. It also partly covers lectures given at
  the school ""QCD and Light Hadrons"", Beijing, China, September 26 - 30, 2004.
  33 pp., LaTeX","Acta Phys.Polon. B35 (2004) 2985-3020",,,"hep-ph hep-ex hep-lat hep-th nucl-ex nucl-th",,"  Physics of the low-lying and high-lying hadrons in the light flavor sector is
reviewed. While the low-lying hadrons are strongly affected by the spontaneous
breaking of chiral symmetry, in the high-lying hadrons the chiral symmetry is
restored. A manifestation of the chiral symmetry restoration in excited hadrons
is a persistence of the chiral multiplet structure in both baryon and meson
spectra. Meson and baryon chiral multiplets are classified. A relation between
the chiral symmetry restoration and the string picture of excited hadrons is
discussed.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 14:56:43 GMT""}]","2007-05-23"
"hep-ph/0410195","Bhaskar Dutta","R. Arnowitt, Bhaskar Dutta, B. Hu","Some Results in M-Theory Inspired Phenomenology","Talk presented at Deserfest: A Celebration of the Life and Works of
  Stanley Deser, Ann Arbor, Michigan, 3-5 April, 2004",,,,"hep-ph",,"  We consider string phenomenological models based on 11D Horava-Witten
M-theory with 5 branes in the bulk. If the 5-branes cluster close to the
distant orbifold plane (d_n\equiv 1-z_n\simeq 0.1) and if the topological
charges of the physical plane vanish (\beta^{(0)}_i=0), then the Witten
\epsilon terms (to first order) are correctly small and a qualitative picture
of the quark and lepton mass hierarchy arises without significant fine tuning.
If right handed neutrinos exist, a possible gravitationally induced cubic
holomorphic contribution to the Kahler potential can exist scaled by the 11D
Planck mass. These terms give rise to Dirac neutrino masses at the electroweak
scale. This mechanism (different from the see-saw mechanism) is seen to account
for both the atmospheric and solar neutrino oscillations. The model also gives
rise to possible non-universal soft breaking A parameters in the u and d second
and third generation quark sector (A_{2,3}^{(u,d)}) which naturally can account
for the possible (2.4\sigma) break down of the Standard Model predictions in
the recent B-factory data for the B->\phi K_s decays.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 15:57:41 GMT""}]","2007-05-23"
"hep-th/0410138","Yosuke Imamura","Yosuke Imamura","On String Junctions in Supersymmetric Gauge Theories","33 pages, 16 figures, LaTeX2e; references added, typos corrected","Prog.Theor.Phys. 112 (2004) 1061-1086","10.1143/PTP.112.1061","UT-04-27","hep-th",,"  We study junctions consisting of confining strings in N=1 supersymmetric
large N gauge theories by means of the gauge/gravity correspondence. We realize
these junctions as D-brane configurations in infrared geometries of the
Klebanov-Strassler (KS) and the Maldacena-Nunez (MN) solutions. After
discussing kinematics associated with the balance of tensions, we compute the
energies of baryon vertices numerically. In the KS background, baryon vertices
give negative contributions to the energies. The results for the MN background
strongly suggest that the energies of baryon vertices exactly vanish, as in the
case of supersymmetric (p,q)-string junctions. We find that brane
configurations in the MN background have a property similar to the holomorphy
of the M-theory realization of (p,q)-string junctions. With the help of this
property, we analytically prove the vanishing of the energies of baryon
vertices in the MN background.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 16:33:45 GMT""},{""version"":""v2"",""created"":""Sun, 17 Oct 2004 17:27:50 GMT""},{""version"":""v3"",""created"":""Mon, 22 Nov 2004 01:53:22 GMT""}]","2009-11-10"
"hep-th/0410139","Kentaroh Yoshida","Yoshiaki Susaki, Yastoshi Takayama, Kentaroh Yoshida","Open Semiclassical Strings and Long Defect Operators in AdS/dCFT
  Correspondence","22 pages, 1 figure, LaTeX, minor corrections and references added.
  v3) some new results added. shortened and accepted version in PRD","Phys.Rev. D71 (2005) 126006","10.1103/PhysRevD.71.126006","KEK-TH-990, UTHEP-499","hep-th",,"  We consider defect composite operators in a defect superconformal field
theory obtained by inserting an AdS_4 x S^2-brane in the AdS_5 x S^5
background. The one-loop dilatation operator for the scalar sector is
represented by an integrable open spin chain. We give a description to
construct coherent states for the open spin chain. Then, by evaluating the
expectation value of the Hamiltonian with the coherent states in a long
operator limit, a Landau-Lifshitz type of sigma model action is obtained. This
action is also derived from the string action and hence we find a complete
agreement in both SYM and string sides. We see that an SO(3)_H pulsating string
solution is included in the action and its energy completely agrees with the
result calculated in a different method. In addition, we argue that our
procedure would be applicable to other AdS-brane cases.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 16:19:59 GMT""},{""version"":""v2"",""created"":""Thu, 14 Oct 2004 16:24:14 GMT""},{""version"":""v3"",""created"":""Sat, 18 Jun 2005 08:33:34 GMT""}]","2009-11-10"
"hep-th/0410140","Fabricio Augusto Barone Rangel","F. A. Barone and C. Farina","Scharnhorst effect for a general two-parameter lagrangian density","To be submitted for publication, revtex4 package, corrected typos,
  references rearranged","Phys.Rev. D71 (2005) 067701","10.1103/PhysRevD.71.067701",,"hep-th",,"  We discuss how the propagation of electromagnetic fields described by a
general two-parameter lagrangian, which contains the Euler-Heisenberg effective
lagrangian and the Born-Infeld lagrangian as particular cases, is affected by a
pair of parallel plates that impose boundary conditions in the quantized field.
We consider three differents setups, namely: (i) two perfectly conducting
plates; (ii) two infinitely permeable plates and (iii) a pair of plates in
which one of them is a perfect conductor and the other has an infinite magnetic
permeability.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 16:57:19 GMT""},{""version"":""v2"",""created"":""Wed, 3 Nov 2004 04:34:04 GMT""}]","2009-11-10"
"hep-th/0410141","Martin Olsson","Ulf H. Danielsson, Martin E. Olsson, Marcel Vonk","Matrix models, 4D black holes and topological strings on non-compact
  Calabi-Yau manifolds","42 pages, 10 figures. v2: Minor corrections and clarifications added.
  References added","JHEP0411:007,2004","10.1088/1126-6708/2004/11/007","UUITP-22/04","hep-th",,"  We study the relation between c=1 matrix models at self-dual radii and
topological strings on non-compact Calabi-Yau manifolds. In particular the
special case of the deformed matrix model is investigated in detail. Using
recent results on the equivalence of the partition function of topological
strings and that of four dimensional BPS black holes, we are able to calculate
the entropy of the black holes, using matrix models. In particular, we show how
to deal with the divergences that arise as a result of the non-compactness of
the Calabi-Yau. The main result is that the entropy of the black hole at zero
temperature coincides with the canonical free energy of the matrix model, up to
a proportionality constant given by the self-dual temperature of the matrix
model.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 19:29:36 GMT""},{""version"":""v2"",""created"":""Wed, 3 Nov 2004 17:38:56 GMT""}]","2008-11-26"
"hep-th/0410142","Erick J. Weinberg","James C. Hackworth, Erick J. Weinberg","Oscillating bounce solutions and vacuum tunneling in de Sitter spacetime","31 pages, 11 figures","Phys.Rev. D71 (2005) 044014","10.1103/PhysRevD.71.044014","CU-TP-1118","hep-th",,"  We study a class of oscillating bounce solutions to the Euclidean field
equations for gravity coupled to a scalar field theory with two, possibly
degenerate, vacua. In these solutions the scalar field crosses the top of the
potential barrier $k>1$ times. Using analytic and numerical methods, we examine
how the maximum allowed value of $k$ depends on the parameters of the theory.
For a wide class of potentials $k_{\rm max}$ is determined by the value of the
second derivative of the scalar field potential at the top of the barrier.
However, in other cases, such as potentials with relatively flat barriers, the
determining parameter appears instead to be the value of this second derivative
averaged over the width of the barrier. As a byproduct, we gain additional
insight into the conditions under which a Coleman-De Luccia bounce exists. We
discuss the physical interpretation of these solutions and their implications
for vacuum tunneling transitions in de Sitter spacetime.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 21:11:19 GMT""}]","2009-11-10"
"hep-th/0410143","Ashok Das","Jos\'e Manuel Carmona, Jos\'e Luis Cort\'es, Ashok Das, Jorge Gamboa
  and Fernando M\'endez","Matter-antimatter asymmetry without departure from thermal equilibrium","Revtex, 4pages","Mod.Phys.Lett.A21:883-892,2006","10.1142/S0217732306020111",,"hep-th hep-ph",,"  We explore the possibility of baryogenesis without departure from thermal
equilibrium. A possible scenario is found, though it contains strong
constraints on the size of the $CPT$ violation ($CPTV$) effects and on the role
of the $B$ (baryon number) nonconserving interactions which are needed for it.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 13:54:40 GMT""}]","2009-11-10"
"hep-th/0410144","Gary McCartor","G. McCartor","Induced Operators in QCD","8 pages. Talk presented at Light-Cone 2004 at the VU Amsterdam","Few Body Syst.36:181-188,2005","10.1007/s00601-004-0098-3","SMUHEP/03/1","hep-th",,"  Light-cone quantization always involves the solution of differential
constraint equations. The solutions to these equations include integration
constants (fields independent of $x_-$). These fields are unphysical but when
they are consistently removed from the dynamics, additional operators (induced
operators), which would not be present if the integration constants were simply
set to zero, are included in the dynamics. These induced operators can be taken
to act in the usual light-cone subspace, for instance, the space used for DLCQ.
Here, I shall give a derivation of two such operators. The operators are
derived starting from the QCD Lagrangian but the derivation involves some
guesses. The operators will provide for the linear growth of the pion mass
squared with the quark bare mass and for the splitting of the pi and the rho at
zero quark mass.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 21:44:25 GMT""}]","2014-11-18"
"hep-th/0410145","Hongbo Cheng","Hongbo Cheng","The Casimir effect for a cavity in the presence of compactified
  universal extra dimension","7 pages, 2 figures","Chin.Phys.Lett. 22 (2005) 2190-2193","10.1088/0256-307X/22/12/013",,"hep-th",,"  We reexamine the Casimir effect for the rectangular cavity with two or three
equal edges in the presence of compactified universal extra dimension. We
derive the expressions for the Casimir energy and discuss the nature of Casimir
force. We show the extra-dimension corrections to the standard Casimir effect.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 01:04:49 GMT""},{""version"":""v2"",""created"":""Sat, 6 Aug 2005 00:36:00 GMT""}]","2009-11-10"
"hep-th/0410146","Kazuo Fujikawa","Kazuo Fujikawa","Quantization of Space-time Noncommutative Theory","11 pages. Talk given at SI2004, Fuji-Yoshida, Japan, August 12-19,
  2004 (to be published in the Proceedings)",,,,"hep-th",,"  General aspects of the quantization of field theories non-local in time are
discussed. The path integral on the basis of Schwinger's action principle and
the Bjorken-Johnson-Low prescription, which helps to recover the canonical
structure from the results of the path integral, are used as the main
machinery. A modified time ordering operation which formally restores unitarity
in field theories non-local in time is analyzed in detail. It is shown that the
perturbative unitarity and the positive energy condition, in the sense that
only the positive energy flows in the positive time direction for any fixed
time-slice in space-time, are not simultaneously satisfied for theories
non-local in time such as space-time noncommutative theory.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 08:22:16 GMT""}]","2007-05-23"
"hep-th/0410147","Heinrich Saller","Heinrich Saller","The basic physical Lie operations","37 pgaes",,,"MPP-2004-130","hep-th",,"  Quantum theory can be formulated as a theory of operations, more specific, of
complex represented operations from real Lie groups. Hilbert space eigenvectors
of acting Lie operations are used as states or particles. The simplest simple
Lie groups have three dimensions. These groups together with their contractions
and subgroups contain - in the simplest form - all physically important
operations which come as translations for causal time, for space and for
spacetime, as rotations, Lorentz transformations and as Euclidean and Poincare
transformations with scattering and particle states and also - via the
Heisenberg groups - as the operational structure of nonrelativistic quantum
mechanics. The classification of all those groups and their contractions is
given together with their Hilbert spaces, constituted by energy-momentum
functions. The groups representation matrix elements can be written as residues
of energy-momentum poles - simple poles for abelian translations, e.g. in
Feynman propagators, and dipoles for simple Lie group operations, e.g. in the
Schroedinger wave functions for the nonrelativistic hydrogen atom.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 09:40:48 GMT""}]","2007-05-23"
"hep-th/0410148","Andrzej Wereszczynski","A. Wereszczynski","Knotted Configurations with Arbitrary Hopf Index from the Eikonal
  Equation","31 pages, 21 figures; final version accepted in Eur. Phys. J. C","Eur.Phys.J.C42:461-473,2005","10.1140/epjc/s2005-02300-4",,"hep-th",,"  The complex eikonal equation in $(3+1)$ dimensions is investigated. It is
shown that this equation generates many multi soliton configurations with
arbitrary value of the Hopf index. In general, these eikonal hopfions do not
have the toroidal symmetry. For example, a hopfion with topology of the trefoil
knot is found. Moreover, we argue that such solitons might be helpful in
construction of approximated analytical knotted solutions of the Faddeev-Niemi
model.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 10:10:57 GMT""},{""version"":""v2"",""created"":""Mon, 13 Jun 2005 09:53:38 GMT""}]","2009-01-07"
"hep-th/0410149","Jan Louis","Jan Louis and Waldemar Schulgin","Massive Tensor Multiplets in N=1 Supersymmetry","14 pages, Latex","Fortsch.Phys.53:235-245,2005","10.1002/prop.200410193",,"hep-th",,"  We derive the action for a massive tensor multiplet coupled to chiral and
vector multiplets as it can appear in orientifold compactifications of type IIB
string theory.We compute the potential of the theory and show its consistency
with the corresponding Kaluza-Klein reduction of N=1 orientifold
compactifications. The potential contains an explicit mass term for the scalar
in the tensor multiplet which does not arise from eliminating an auxiliary
field. A dual action with an additional massive vector multiplet is derived at
the level of superfields.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 12:34:57 GMT""}]","2010-11-19"
"hep-th/0410150","Norisuke Sakai","Youichi Isozumi, Muneto Nitta, Keisuke Ohashi, and Norisuke Sakai","Walls and vortices in supersymmetric non-abelian gauge theories","10pages, 2figures, Contribution to the proceedings of ``NathFest'' at
  PASCOS conference, Northeastern University, Boston, Ma, August 2004",,"10.1142/9789812701756_0091",,"hep-th",,"  We review recent results on the BPS multi-wall solutions in supersymmetric
U(N_C) gauge theories in five dimensions with N_F(>N_C) hypermultiplets in the
fundamental representation. Total moduli space of the BPS non-Abelian walls is
found to be the complex Grassmann manifold SU(N_F)/[SU(N_C)xSU(N_F-N_C)xU(1)].
Exact solutions are obtained with full generic moduli for infinite gauge
coupling. A 1/4 BPS equation is also solved, giving vortices together with the
non-Abelian walls and monopoles in the Higgs phase attached to the vortices.
The full moduli space of the 1/4 BPS solutions is found to be holomorphic maps
from a complex plane to the wall moduli space.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 13:11:30 GMT""},{""version"":""v2"",""created"":""Wed, 13 Oct 2004 23:34:31 GMT""}]","2020-05-27"
"hep-th/0410151","Andrea Cappelli","A. Cappelli, M. Riccardi","Matrix Model Description of Laughlin Hall States","31 pages, large additions on the path integral and overlaps, and on
  the W-infinity symmetry","J.Stat.Mech.0505:P05001,2005","10.1088/1742-5468/2005/05/P05001","DFF 420-09-04","hep-th cond-mat.mes-hall",,"  We analyze Susskind's proposal of applying the non-commutative Chern-Simons
theory to the quantum Hall effect. We study the corresponding regularized
matrix Chern-Simons theory introduced by Polychronakos. We use holomorphic
quantization and perform a change of matrix variables that solves the Gauss law
constraint. The remaining physical degrees of freedom are the complex
eigenvalues that can be interpreted as the coordinates of electrons in the
lowest Landau level with Laughlin's wave function. At the same time, a
statistical interaction is generated among the electrons that is necessary to
stabilize the ground state. The stability conditions can be expressed as the
highest-weight conditions for the representations of the W-infinity algebra in
the matrix theory. This symmetry provides a coordinate-independent
characterization of the incompressible quantum Hall states.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 14:11:13 GMT""},{""version"":""v2"",""created"":""Mon, 17 Jan 2005 14:23:40 GMT""}]","2011-02-16"
"math-ph/0410033","Marcel Griesemer","Marcel Griesemer","Non-relativistic Matter and Quantized Radiation","To appear in the proceedings of the summerschool: Large Coulomb
  Systems - QED, Norway, 2003",,,,"math-ph math.MP",,"  This is a didactic review of spectral and dynamical properties of atoms and
molecules at energies below the ionization threshold, the focus being on recent
work in which the author was involved. As far as possible, the results are
described using a simple model with \emph{one} electron only, and with
\emph{scalar} bosons. The main ideas are explained but no complete proofs are
given. The full-fledged standard model of non-relativistic QED and various of
its aspects are described in the appendix.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 16:56:43 GMT""}]","2007-05-23"
