"astro-ph/0412525","Guenter Sigl","Eric Armengaud, Guenter Sigl (GReCO, and APC, Paris), Francesco
  Miniati (ETH Zuerich)","Ultrahigh Energy Nuclei Propagation in a Structured, Magnetized Universe","17 pages, 35 ps figures included","Phys.Rev. D72 (2005) 043009","10.1103/PhysRevD.72.043009",,"astro-ph hep-ph",,"  We compare the propagation of iron and proton nuclei above 10^19 eV in a
structured Universe with source and magnetic field distributions obtained from
a large scale structure simulation and source densities about 10^(-5) Mpc^(-3).
All relevant cosmic ray interactions are taken into account, including
photo-disintegration and propagation of secondary products. Iron injection
predicts spectral shapes different from proton injection which disagree with
existing data below about 30 EeV. Injection of light nuclei or protons must
therefore contribute at these energies. However, at higher energies, existing
data are consistent with injection of pure iron with spectral indices between 2
and 2.4. This allows a significant recovery of the spectrum above roughly 100
EeV, especially in the case of large deflections. Significant auto-correlation
and anisotropy, and considerable cosmic variance are also predicted in this
energy range. The mean atomic mass A fluctuates considerably between different
scenarios. At energies below 60 EeV, if the observed A > 35, magnetic fields
must have a negligible effect on propagation. At the highest energies the
observed flux will be dominated by only a few sources whose location may be
determined by next generation experiments to within 10-20 degrees even if
extra-galactic magnetic fields are important.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 16:02:28 GMT""}]","2009-11-10"
"math/0412432","Ghislain Fourier","Ghislain Fourier and Peter Littelmann","Tensor product structure of affine Demazure modules and limit
  constructions","24 pages, in the current version we added the case of twisted affine
  Kac--Moody algebras","Nagoya Math J. 182 (2006), 171-198",,,"math.RT math.QA",,"  Let $\Lg$ be a simple complex Lie algebra, we denote by $\Lhg$ the
corresponding affine Kac--Moody algebra. Let $\Lambda_0$ be the additional
fundamental weight of $\Lhg$. For a dominant integral $\Lg$--coweight
$\lam^\vee$, the Demazure submodule $V_{-\lam^\vee}(m\Lam_0)$ is a
$\Lg$--module. For any partition of $\lam^\vee=\sum_j \lam_j^\vee$ as a sum of
dominant integral $\Lg$--coweights, the Demazure module is (as $\Lg$--module)
isomorphic to $\bigotimes_j V_{-\lam^\vee_j}(m\Lam_0)$. For the ``smallest''
case, $\lam^\vee=\om^\vee$ a fundamental coweight, we provide for $\Lg$ of
classical type a decomposition of $V_{-\om^\vee}(m\Lam_0)$ into irreducible
$\Lg$--modules, so this can be viewed as a natural generalization of the
decomposition formulas in \cite{KMOTU} and \cite{Magyar}. A comparison with the
$U_q(\Lg)$--characters of certain finite dimensional $U_q'(\Lhg)$--modules
(Kirillov--Reshetikhin--modules) suggests furthermore that all quantized
Demazure modules $V_{-\lam^\vee,q}(m\Lam_0)$ can be naturally endowed with the
structure of a $U_q'(\Lhg)$--module. Such a structure suggests also a
combinatorially interesting connection between the LS--path model for the
Demazure module and the LS--path model for certain $U_q'(\Lhg)$--modules in
\cite{NaitoSagaki}. For an integral dominant $\Lhg$--weight $\Lambda$ let
$V(\Lam)$ be the corresponding irreducible $\Lhg$--representation. Using the
tensor product decomposition for Demazure modules, we give a description of the
$\Lg$--module structure of $V(\Lam)$ as a semi-infinite tensor product of
finite dimensional $\Lg$--modules. The case of twisted affine Kac-Moody
algebras can be treated in the same way, some details are worked out in the
last section.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 13:31:30 GMT""},{""version"":""v2"",""created"":""Wed, 12 Jan 2005 13:34:41 GMT""},{""version"":""v3"",""created"":""Wed, 9 Nov 2005 11:48:01 GMT""}]","2012-12-18"
"math/0412433","Roberto Paoletti","Alberto Della Vedova, Roberto Paoletti","Equivariant volumes for linearized actions",,,,,"math.AG math.SG",,"  Suppose given a linearized action on a polarized complex projective manifold
(M,L), and assume that the stable locus is non-empty. We study the leading
asymptotics of the dimension of the equivariant summands appearing in the space
of global sections of high powers of L. We use Kirwan resolutions and an
elementary algebro-geometric argument to reduce the problem to the case of
non-singular actions (that is, actions for which the stable and semistable loci
coincide and are non-empty).
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 13:35:59 GMT""},{""version"":""v2"",""created"":""Tue, 10 Jan 2006 13:28:25 GMT""}]","2007-05-23"
"math/0412434","Takayuki Morifuji","Takayuki Morifuji","A Torres condition for twisted Alexander polynomials","7 pages",,,,"math.GT",,"  As a generalization of a fundamental result about the Alexander polynomial of
links, we give a description of a Torres condition for the twisted Alexander
polynomial of links associated to a unimodular representation.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 13:49:50 GMT""}]","2007-05-23"
"math/0412435","Delorme Patrick","Philippe Blanc (Institut de Mathematiques de Luminy), Patrick Delorme
  (Institut de Mathematiques de Luminy)","Vecteurs distributions H-invariants de representations induites, pour un
  espace symetrique reductif p-adique G/H","Latex,42 pages. Augmented introduction, changes in section 2.7, added
  references, corrected typos",,,"IML 04-18","math.RT",,"  Let G be the group of F-points of a reductive group defined over F, $\sigma$
a rational involution of this group defined over F and H the group of fixed
points of $\sigma$ . We built rational families of H-fixed vectors in the dual
of generalized principal series, using smooth homology of groups. Results of
A.G.Helminck,S.P.Wang and A.G.Helminck,G.F.Helminck on the structure of
$\mathbb F$-varieties are also essential.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 15:03:15 GMT""},{""version"":""v2"",""created"":""Mon, 8 Jan 2007 09:13:33 GMT""}]","2007-05-23"
"math/0412436","Fernando Dobarro","Fernando Dobarro, Bulent Unal","Curvature in Special Base Conformal Warped Products","56 pages, 8 tables, 1 figure; correction of misprints","Acta Applicandae Mathematicae - vol. 104 - n. 1 (2008) - p. 1-46",,,"math.DG gr-qc hep-th math-ph math.MP",,"  We introduce the concept of a base conformal warped product of two
pseudo-Riemannian manifolds. We also define a subclass of this structure called
as a special base conformal warped product. After, we explicitly mention many
of the relevant fields where metrics of these forms and also considerations
about their curvature related properties play important rolls. Among others, we
cite general relativity, extra-dimension, string and super-gravity theories as
physical subjects and also the study of the spectrum of Laplace-Beltrami
operators on p-forms in global analysis. Then, we give expressions for the
Ricci tensor and scalar curvature of a base conformal warped product in terms
of Ricci tensors and scalar curvatures of its base and fiber, respectively.
Furthermore, we introduce specific identities verified by particular families
of, either scalar or tensorial, nonlinear differential operators on
pseudo-Riemannian manifolds. The latter allow us to obtain new interesting
expressions for the Ricci tensor and scalar curvature of a special base
conformal warped product and it turns out that not only the expressions but
also the analytical approach used are interesting from the physical,
geometrical and analytical point of view. Finally, we analyze, investigate and
characterize possible solutions for the conformal and warping factors of a
special base conformal warped product, which guarantee that the corresponding
product is Einstein. Besides, we apply these results to a generalization of the
Schwarzschild metric.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 15:43:01 GMT""},{""version"":""v2"",""created"":""Thu, 12 May 2005 14:25:03 GMT""},{""version"":""v3"",""created"":""Fri, 6 Apr 2007 15:09:08 GMT""},{""version"":""v4"",""created"":""Tue, 29 Apr 2008 15:49:13 GMT""}]","2008-08-25"
"nlin/0412049","Jupiter Bagaipo","Jupiter Bagaipo, Juan G. Restrepo","Parameter mismatch estimation using large deviations from
  synchronization",,,,,"nlin.CD",,"  We present a method to determine the relative parameter mismatch in a
collection of nearly identical chaotic oscillators by measuring large
deviations from the synchronized state. We demonstrate our method with an
ensemble of slightly different circle maps. We discuss how to apply our method
when there is noise, and show an example where the noise intensity is
comparable to the mismatch.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 20:53:30 GMT""}]","2016-09-08"
"nlin/0412050","Kenji Kajiwara","Kenji Kajiwara and Atsushi Mukaihira","Soliton Solutions for the Non-autonomous Discrete-time Toda Lattice
  Equation","8 pages. Title has been changed. Some comments and discussions have
  been added",,,,"nlin.SI",,"  We construct $N$-soliton solution for the non-autonomous discrete-time Toda
lattice equation, which is a generalization of the discrete-time Toda equation
such that the lattice interval with respect to time is an arbitrary function in
time.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 00:46:27 GMT""},{""version"":""v2"",""created"":""Thu, 3 Mar 2005 03:46:39 GMT""}]","2007-05-23"
"nlin/0412051","Sergey Dmitriev V.","P. G. Kevrekidis, S. V. Dmitriev, S. Takeno, A. R. Bishop and E. C.
  Aifantis","A Rich Example of Geometrically Induced Nonlinearity: From Rotobreathers
  and Kinks to Moving Localized Modes and Resonant Energy Transfer",,,"10.1103/PhysRevE.70.066627",,"nlin.SI",,"  We present an experimentally realizable, simple mechanical system with linear
interactions whose geometric nature leads to nontrivial, nonlinear dynamical
equations. The equations of motion are derived and their ground state
structures are analyzed. Selective ``static'' features of the model are
examined in the context of nonlinear waves including rotobreathers and
kink-like solitary waves. We also explore ``dynamic'' features of the model
concerning the resonant transfer of energy and the role of moving intrinsic
localized modes in the process.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 03:16:42 GMT""}]","2009-11-10"
"nlin/0412052","Sergey Dmitriev V.","S. Takeno, S. V. Dmitriev, P. G. Kevrekidis and A. R. Bishop","Nonlinear Lattices Generated from Harmonic Lattices with Geometric
  Constraints",,,"10.1103/PhysRevB.71.014304",,"nlin.PS",,"  Geometrical constraints imposed on higher dimensional harmonic lattices
generally lead to nonlinear dynamical lattice models. Helical lattices obtained
by such a procedure are shown to be described by sine- plus linear-lattice
equations. The interplay between sinusoidal and quadratic potential terms in
such models is shown to yield localized nonlinear modes identified as intrinsic
resonant modes.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 03:46:08 GMT""}]","2009-11-10"
"nlin/0412053","Rudi Schaefer","R. Schaefer, T. Gorin, T. H. Seligman, H.-J. Stoeckmann","Experimental verification of fidelity decay: From perturbative to Fermi
  Golden Rule regime","second revision, updated references, 5 pages, 7 figures",,"10.1103/PhysRevLett.95.184102",,"nlin.CD",,"  The scattering matrix was measured for a flat microwave cavity with
classically chaotic dynamics. The system can be perturbed by small changes of
the geometry. We define the ""scattering fidelity"" in terms of parametric
correlation functions of scattering matrix elements. In chaotic systems and for
weak coupling the scattering fidelity approaches the fidelity of the closed
system. Without free parameters the experimental results agree with random
matrix theory in a wide range of perturbation strengths, reaching from the
perturbative to the Fermi golden rule regime.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 14:08:41 GMT""},{""version"":""v2"",""created"":""Mon, 30 May 2005 13:54:13 GMT""},{""version"":""v3"",""created"":""Fri, 9 Sep 2005 09:03:41 GMT""}]","2009-11-10"
"nlin/0412054","Maxim Pavlov","Maxim Pavlov","Description of compatible differential-geometric Poisson brackets of the
  first order","to appear in Theoretical and Mathematical Physics",,,,"nlin.SI",,"  Compatible local differential-geometric Poisson brackets of the first order
(Dubrovin-Novikov type) are classified by solutions of modified Sinh-Gordon
equation. It was proved by E.V. Ferapontov. In this paper integrable system
describing compatible non-local differential-geometric Poisson brackets of the
first order (Ferapontov type) is presented in case when one metric is flat and
another one has co-dimension 1. This is a reduction of the Cherednik model
(chiral fields).
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 15:09:03 GMT""}]","2007-05-23"
"nlin/0412055","Marcus Aguiar de","M.V.S. Bonanca and M.A.M. de Aguiar","Classical Dissipation and Asymptotic Equilibrium via Interaction with
  Chaotic Systems","revised text, new references, 36 pages, 9 figures","Physica A 365 (2006) 333-350","10.1016/j.physa.2005.09.062",,"nlin.CD",,"  We study the energy flow between a one dimensional oscillator and a chaotic
system with two degrees of freedom in the weak coupling limit. The oscillator's
observables are averaged over an initially microcanonical ensemble of
trajectories of the chaotic system, which plays the role of an environment for
the oscillator. We show numerically that the oscillator's average energy
exhibits irreversible dynamics and `thermal' equilibrium at long times. We use
linear response theory to describe the dynamics at short times and we derive a
condition for the absorption or dissipation of energy by the oscillator from
the chaotic system. The equilibrium properties at long times, including the
average equilibrium energies and the energy distributions, are explained with
the help of statistical arguments. We also check that the concept of
temperature defined in terms of the `volume entropy' agrees very well with
these energy istributions.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 15:18:25 GMT""},{""version"":""v2"",""created"":""Fri, 23 Sep 2005 11:07:48 GMT""}]","2015-06-26"
"nucl-ex/0412043","Birger Back","C. L. Jiang, K. E. Rehm, H. Esbensen, R. V. F. Janssens, B. B. Back,
  P. Collon, C. N. Davids, J. P. Greene, D. J. Henderson, C. J. Lister, S.
  Kurtz, R. C. Pardo, T. Pennington, M. Paul, D. Peterson, D. Seweryniak, B.
  Shumard, S. Sinha, X. D. Tang, I. Tanihata, S. Zhu","Hindrance of Heavy-ion Fusion at Extreme Sub-Barrier Energies in
  Open-shell Colliding Systems","10 pages, 9 figures, Submitted to Phys. Rev. C","Phys.Rev. C71 (2005) 044613","10.1103/PhysRevC.71.044613",,"nucl-ex",,"  The excitation function for the fusion-evaporation reaction 64Ni+100Mo has
been measured down to a cross-section of ~5 nb. Extensive coupled-channels
calculations have been performed, which cannot reproduce the steep fall-off of
the excitation function at extreme sub-barrier energies. Thus, this system
exhibits a hindrance for fusion, a phenomenon that has been discovered only
recently. In the S-factor representation introduced to quantify the hindrance,
a maximum is observed at E_s=120.6 MeV, which corresponds to 90% of the
reference energy E_s^ref, a value expected from systematics of closed-shell
systems. A systematic analysis of Ni-induced fusion reactions leading to
compound nuclei with mass A=100-200 is presented in order to explore a possible
dependence of the fusion hindrance on nuclear structure.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 20:10:21 GMT""}]","2009-11-10"
"nucl-ex/0412044","Debsankar Mukhopadhyay","PHENIX Collaboration (Debsankar Mukhopadhyay for the collaboration)","phi meson production in Au + Au collisions at sqrt{s_{NN} = 200 GeV",,"J.Phys. G31 (2005) S187-S194","10.1088/0954-3899/31/4/023","VU-DSM-HQ-02","nucl-ex",,"  We present the results on the mid-rapidity phi meson production in the
K^{+}K^{-} decay channel in Au + Au collisions at sqrt(s_NN) = 200 GeV measured
by the PHENIX experiment at RHIC. The spectral shape of the phi resonance,
studied at different collision centralities, is consistent with the particle
data book. The transverse mass spectra are measured in four centrality bins.
The inverse slopes (T), yields (dN/dy) and particle ratios are studied as a
function of centrality. The nuclear modification factor is measured through the
ratio, R_{CP}, of central to peripheral yields normalized to the number of
nucleon-nucleon collisions. The R_{CP} of the phi mesons is less than unity and
is comparable to that of pions rather than R_{CP} ~ 1 observed for protons and
anti-protons.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 08:30:43 GMT""}]","2015-06-26"
"nucl-ex/0412045","Andre Mischke","Andre Mischke (for the STAR collaboration)","Neutral pion production in d-Au collisions at sqrt(s_NN) = 200 GeV","Hard Probes proceedings, 4 pages, 4 figures, submitted to Eur. Phys.
  J. C","Eur.Phys.J.C43:311-316,2005","10.1140/epjc/s2005-02247-4",,"nucl-ex",,"  In this paper, preliminary results are presented on high-$p_T$ inclusive
neutral pion measurements in d-Au collisions at $\sqrt{s_{\rm NN}}$ = 200 GeV
in the pseudo-rapidity range $0<\eta<1$. The photons of the decay
$pi^0\to\gamma\gamma$ are detected in the Barrel Electromagnetic Calorimeter of
the STAR experiment at RHIC. The analysis of this first BEMC hadron measurement
is described in detail. The results are compared to earlier RHIC findings.
Furthermore, the obtained $\pi^{0}$ invariant differential cross sections show
good agreement with next-to-leading order (NLO) perturbative QCD calculations.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 15:52:38 GMT""},{""version"":""v2"",""created"":""Tue, 12 Apr 2005 11:25:33 GMT""}]","2019-08-14"
"nucl-ex/0412046","Adam Maj","M.Kmiecik, A.Maj, J.Styczen, P.Bednarczyk, M.Brekiesz, J.Grebosz,
  M.Lach, W.Meczynski, M.Zieblinski, K.Zuber, A.Bracco, F.Camera, G.Benzoni,
  B.Million, S.Leoni, O.Wieland, B.Herskind, D.Curien, N.Dubray, J.Dudek,
  N.Schunck, K.Mazurek","GDR Feeding of the Highly-Deformed Band in 42Ca","6 pages, 2 figures, Proceedings of the Zakopane2004 Symposium, to be
  published in Acta Phys. Pol. B36 (2005)","Acta Phys.Polon. B36 (2005) 1169-1174",,,"nucl-ex",,"  The gamma-ray spectra from the decay of the GDR in the compound nucleus
reaction 18O+28Si at bombarding energy of 105 MeV have been measured in an
experiment using the EUROBALL IV and HECTOR arrays. The obtained experimental
GDR strength function is highly fragmented, with a low energy (10 MeV)
component, indicating a presence of a large deformation and Coriolis effects.
In addition, the preferential feeding of the highly-deformed band in 42Ca by
this GDR low energy component is observed.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 14:45:35 GMT""}]","2007-05-23"
"nucl-ex/0412047","Jana Bielcikova","Jana Bielcikova (for the CERES/NA45 Collaboration)","Semihard scattering unraveled from collective dynamics at $\sqrt{s}$=17
  GeV","7 pages, 8 figures, presented at Hot Quarks 2004, July 18-24, 2004,
  Taos, New Mexico, USA. The proceedings are accepted for publication in
  Journal of Physics G","J.Phys. G31 (2005) S465-S472","10.1088/0954-3899/31/4/057",,"nucl-ex",,"  We present a study of elliptic flow ($v_2$) and two-particle azimuthal
correlations of charged hadrons and high transverse momentum ($p_T$) pions
measured by the CERES experiment in Pb+Au collisions at $\sqrt{s}$~=~17 GeV.
Azimuthal anisotropy $v_2$ increases linearly with $p_T$ to a value of 10% at
$p_T$~=~1.5 GeV/$c$. Beyond this $p_T$ the slope decreases indicating a
possible saturation at high $p_T$. Two-pion azimuthal anisotropies ($p_T>$~1.2
GeV/$c$) exceed $v_2$ by about 60% in semicentral collisions and reveal
non-harmonic contributions at close ($\Delta\phi\approx0$) and back-to-back
($\Delta\phi\approx\pi$) angles that can be attributed to semihard processes.
While the close-angle peak remains unchanged, the back-to-back peak is
broadened and disappears in central collisions.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 15:00:58 GMT""}]","2009-11-10"
"nucl-th/0412079","P. Papakonstantinou","P. Papakonstantinou, E. Mavrommatis, J. Wambach and V. Yu. Ponomarev","A microscopic investigation of the transition form factor in the region
  of collective multipole excitations of stable and unstable nuclei","13 pages, incl. 9 figures; to appear in J.Phys.G,
  http://www.iop.org/EJ/jphysg","J.Phys. G31 (2005) 185-198","10.1088/0954-3899/31/3/003",,"nucl-th",,"  We have used a self-consistent Skyrme-Hartree-Fock plus Continuum-RPA model
to study the low-multipole response of stable and neutron/proton-rich Ni and Sn
isotopes. We focus on the momentum-transfer dependence of the strength
distribution, as it provides information on the structure of excited nuclear
states and in particular on the variations of the transition form factor (TFF)
with the energy. Our results show, among other things, that the TFF may show
significant energy dependence in the region of the isoscalar giant monopole
resonance and that the TFF corresponding to the threshold strength in the case
of neutron-rich nuclei is different compared to the one corresponding to the
respective giant resonance. Perspectives are given for more detailed future
investigations.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 16:38:18 GMT""}]","2007-05-23"
"nucl-th/0412080","Victor Vasilevsky","F. Arickx (1), J. Broeckhove (1), A. Nesterov (2), V. Vasilevsky (2)
  and W. Vanroose (1) ((1) University of Antwerp, Group Computational Modeling
  and Programming, Antwerp, Belgium (2) Bogolyubov Institute for Theoretical
  Physics, Kiev, Ukraine)","The Modified J-Matrix Approach for Cluster Descriptions of Light Nuclei","43 pages 21 figures, submitted to ""J-matrix method and its
  applications"", A. Alhaidari et al, editors., N.Y.: Nova Science Publishers,
  Inc",,,,"nucl-th",,"  We present a fully microscopic three-cluster nuclear model for light nuclei
on the basis of a J-Matrix approach. We apply the Modified J-Matrix method on
$^{6}He$ and $^{6}Be$ for both scattering and reaction problems, analyse the
Modified J-Matrix calculation, and compare the results to experimental data.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 16:47:51 GMT""}]","2007-05-23"
"nucl-th/0412081","Bao-An Li","Bao-An Li, Gao-Chan Yong and Wei Zuo","Isospin dependence of nucleon emission and radial flow in heavy-ion
  collisions induced by high energy radioactive beams","13 pages including 6 figures, submitted to Phys. Rev. C","Phys.Rev.C71:044604,2005","10.1103/PhysRevC.71.044604",,"nucl-th nucl-ex",,"  Using an isospin- and momentum-dependent transport model we study the
emission of free nucleons and the nuclear radial flow in central heavy-ion
collisions induced by high energy radioactive beams. The midrapidity
neutron/proton ratio and its transverse momentum dependence are found very
sensitive to the high density behavior of nuclear symmetry energy. The nuclear
radial flow, however, depends only weakly on the symmetry energy.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 19:08:36 GMT""},{""version"":""v2"",""created"":""Mon, 20 Dec 2004 21:10:40 GMT""}]","2008-11-26"
"nucl-th/0412082","Frederique Grassi","F.Grassi","Particle emission in hydrodynamics: a problem needing a solution",,"Braz.J.Phys. 35 (2005) 52-69","10.1590/S0103-97332005000100004",,"nucl-th",,"  A survey of various mechanisms for particle emission in hydrodynamics is
presented. First, in the case of sudden freeze out, the problem of negative
contributions in the Cooper-Frye formula and ways out are presented. Then the
separate chemical and thermal freeze out scenario is described and the
necessity of its inclusion in a hydrodynamical code is discussed. Finally, we
show how to formulate continuous particle emission in hydrodynamics and discuss
extensively its consistency with data. We point out in various cases that the
interpretation of data is quite influenced by the choice of the particle
emission mechanism.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 19:49:12 GMT""}]","2015-06-26"
"nucl-th/0412083","Yu-Min Zhao","Y. M. Zhao, A. Arima, and K. Ogawa","Energy Centroids of Spin $I$ States by Random Two-body Interactions","four figures. to appear in Physical Review C","Phys.Rev. C71 (2005) 017304","10.1103/PhysRevC.71.017304",,"nucl-th",,"  In this paper we study the behavior of energy centroids (denoted as
$\bar{E_I}$) of spin $I$ states in the presence of random two-body
interactions, for systems ranging from very simple systems (e.g. single-$j$
shell for very small $j$) to very complicated systems (e.g., many-$j$ shells
with different parities and with isospin degree of freedom). Regularities of
$\bar{E_I}$'s discussed in terms of the so-called geometric chaoticity (or
quasi-randomness of two-body coefficients of fractional parentage) in earlier
works are found to hold even for very simple systems in which one cannot assume
the geometric chaoticity. It is shown that the inclusion of isospin and parity
does not ""break"" the regularities of $\bar{E_I}$'s.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 07:46:33 GMT""}]","2007-05-23"
"nucl-th/0412084","Ulrich Mosel","L. Alvarez-Ruso, T. Falter, U. Mosel, P. Muehlich","In-Medium Properties of Hadrons - Observables II","Invited Talk by U. Mosel, Proceedings of the Int. School on Nuclear
  Physics, 26th Course, ""Lepton scattering and the structure of hadrons and
  nuclei"", Erice (Sicily), September 16th-24th, 2004, short piece of text added","Prog.Part.Nucl.Phys. 55 (2005) 71-90","10.1016/j.ppnp.2005.01.005",,"nucl-th hep-ph",,"  In this review we discuss the observable consequences of in-medium changes of
hadronic properties in reactions with elementary probes, and in particular
photons, on nuclei. After an outline of the theoretical method used we focus on
a discussion of actual observables in photonuclear reactions; we discuss in
detail $2\pi$- and vector-meson production. We show that the $2\pi^0$
photoproduction data can be well described by final state interactions of the
pions produced whereas the semi-charged $\pi^0\pi^\pm$ channel exhibits a major
discrepancy with theory. For $\omega$ production on nuclei in the TAPS/CB@ELSA
experiment we analyse the $\pi^0\gamma$ decay channel, and illustrate the
strength of the method by simulating experimental acceptance problems.
Completely free of final state interactions is dilepton production in the few
GeV range. We show that the sensitivity of this decay channel to changes of
hadronic properties in medium in photonuclear reactions on nuclei is as large
as in ultrarelativistic heavy ion collisions and make predictions for the
on-going G7 experiment at JLAB. Finally we discuss that hadron production in
nuclei at 10 -- 20 GeV photon energies can give important information on the
hadronization process, and in particular on the time-scales involved. We show
here detailed calculations for the low-energy (12 GeV) run at HERMES and
predictions for planned experiments at JLAB.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 14:25:06 GMT""},{""version"":""v2"",""created"":""Mon, 10 Jan 2005 15:17:14 GMT""}]","2009-11-10"
"nucl-th/0412086","Arina Sytcheva Dr","A. Sytcheva (1), F. Arickx (1), J. Broeckhove (1), V. Vasilevsky (2)
  ((1) Group Computational Modeling and Programming, University of Antwerp,
  Belgium; (2) Bogolyubov Institute for Theoretical Physics, Kiev, Ukraine)","Monopole and quadrupole polarization effects on the alpha-particle
  description of $^{8}$Be","20 pages, 4 figures. submitted to Phys.Rev.C","Phys.Rev.C71:044322,2005","10.1103/PhysRevC.71.044322",,"nucl-th",,"  We investigate the effect of monopole and quadrupole modes on the elastic
alpha-alpha resonance structure of $^{8}$Be. To this end we make a fully
microscopic coupled channels calculation with three coupled channels, using the
Algebraic Model. The continuum spectrum and wave functions are analyzed in
terms of the individual channels to understand the nature of the resonances. It
is shown that both monopole and quadrupole modes have a non-negligible effect
on the resonances in the alpha-alpha continuum.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 15:45:30 GMT""}]","2011-08-17"
"physics/0412125","Alexander Trenin","G. Hermann, A. Trenin, R. Matz, M. Gafurov, A. Gilmutdinov, K.
  Nagulin, W. Frech, E. Bjoern, I. Grinshtein, L. Vasilieva","Platform-to-platform sample transfer, distribution, dilution, and dosing
  via electrothermal vaporization and electrostatic deposition","This paper has been withdrawn","Spectrochimica Acta B 59 (2004) 737-748","10.1016/j.sab.2004.02.008",,"physics.atom-ph",,"  This paper has been withdrawn by the author because of copyright reasons.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 17:00:10 GMT""},{""version"":""v2"",""created"":""Tue, 13 Jun 2006 07:57:52 GMT""}]","2009-11-10"
"physics/0412126","Gerald Hechenblaikner","P Baranowski, J Zacks, G Hechenblaikner and C J Foot","Testing and design of a lens system for atom trapping and fluorescence
  detection","14 pages, 8 figures",,,,"physics.optics",,"  We present methods and results of the testing of an inexpensive home-made
diffraction limited lens system, the design of which was proposed in a recent
paper and which has since been used (with slight alterations) by several
research groups. Our system will be used for both: focussing a collimated laser
beam at a wavelength of lambda=830 nm down to a narrow spot and for collimating
fluorescence light (lambda=780 nm) emitted from rubidium atoms captured in this
spot. Useful tests for lens systems include the use of ray tracing software,
shear-wave interferometers, the imaging of test charts and of polystyrene beads
of a very small size. We present these methods and show how conclusions can be
drawn for the design under test.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 17:35:46 GMT""}]","2007-05-23"
"physics/0412127","Ernesto A. Matute","Ernesto A. Matute","Transverse Solutions of the Vector Laplace and Helmholtz Equations for
  Spherical Coordinates and Boundary Conditions with Azimuthal Symmetry","Proceedings of The 8th World Multi-Conference on Systemics,
  Cybernetics and Informatics (SCI 2004), July 2004, Orlando, Florida, USA,
  Vol. II, pp. 402-405. Editors N. Callaos, W. Lesso and B. Sanchez",,,,"physics.class-ph physics.ed-ph",,"  A scalar field method to obtain transverse solutions of the vector Laplace
and Helmholtz equations in spherical coordinates for boundary-value problems
with azimuthal symmetry is described. Neither scalar nor vector potentials are
used. Solutions are obtained by use of separation of variables instead of
dyadic Green's functions expanded in terms of vector spherical harmonics.
Applications to the calculations of magnetic fields from steady and oscillating
localized current distributions are presented.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 22:01:37 GMT""}]","2007-05-23"
"physics/0412128","Ilya Shadrivov","Alexander A. Zharov, Nina A. Zharova, Roman E. Noskov, Ilya V.
  Shadrivov, and Yuri S. Kivshar","Birefringent left-handed metamaterials and perfect lenses","4 pages 6 figures","New J. Phys. 7, 220 (2005)","10.1088/1367-2630/7/1/220",,"physics.optics cond-mat.mtrl-sci",,"  We describe the properties of birefringent left-handed metamaterials and
introduce the concept of a birefringent perfect lens. We demonstrate that, in a
sharp contrast to the conventional left-handed perfect lens at
$\epsilon=\mu=-1$, where $\epsilon$ is the dielectric constant and $\mu$ is the
magnetic permeability, the birefringent left-handed lens can focus either TE or
TM polarized waves or both of them, allowing a spatial separation of the TE and
TM images. We discuss several applications of the birefringent left-handed
lenses such as the beam splitting and near-field diagnostics at the
sub-wavelength scale.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 02:29:43 GMT""}]","2007-05-23"
