"astro-ph/0409159","Daniele Fargion","M. Iori, A. Sergi and D. Fargion","Test results of a prototype designed to detect horizontal cosmic ray
  flux","12 pages, 13 figures",,,,"astro-ph hep-ph",,"  In this paper we report test results from a prototype designed to detect
muons from horizontal air shower at large zenith angle,
  $86^{0}<\Theta<93^{0}$. To detect horizontal tracks and their directions we
select them according the muon vertical equivalent charge and we measure the
time of flight with a time resolution of 800 ps. Several measurements are
collected at different zenith angles. The background studies performed with two
modules show that the main source is due to tracks crossing the module at the
same time. The upper limit of background flux for a single twin module is
estimated to be $10^{-9} cm^{-2}$ $s^{-1}$ $sr^{-1} (90%CL)$. We estimated the
size of the surface array necessary to detect the shower flux of the order of
$10^{-9} cm^{-2}$ $yr^{-1}$ $sr^{-1}$ if originated by Tau Air-Showers
secondaries of GZK neutrino Tau below the horizons.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:02:06 GMT""},{""version"":""v2"",""created"":""Tue, 5 Oct 2004 07:56:25 GMT""}]","2016-08-30"
"hep-ex/0409025","Valery Kubarovsky P.","Valery Kubarovsky and Paul Stoler (for the CLAS collaboration)","Status of Pentaquark Search at Jlab","Invited talk at the 6th International Conference on Hyperons, Charm
  and Beauty Hadrons (BEACH2004), Chicago, USA, June 28 - July 3, 2004. 10
  pages, 14 figures. One reference added","Nucl.Phys.Proc.Suppl.142:356-363,2005","10.1016/j.nuclphysbps.2005.01.059",,"hep-ex nucl-ex",,"  We review the current experimental situation of pentaquark searches, and
second generation experiments, with emphasis on the Jefferson Lab program.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 19:01:59 GMT""},{""version"":""v2"",""created"":""Wed, 15 Sep 2004 21:22:32 GMT""},{""version"":""v3"",""created"":""Thu, 7 Oct 2004 20:09:14 GMT""}]","2019-08-14"
"hep-ex/0409026","Alexey Drutskoy","A. Drutskoy, et al. (for the Belle Collaboration)","Observation of $\bar{B^0}$ -> DsJ*(2317)+ K- decay","9 pages, 2 figures, submitted to PRL","Phys.Rev.Lett.94:061802,2005","10.1103/PhysRevLett.94.061802","BELLE Preprint 2004-30, KEK Preprint 2004-59","hep-ex",,"  The decays $\bar{B^0} \to D_{sJ}^+ K^-$ and $\bar{B^0} \to D_{sJ}^- \pi^+$
are studied for the first time. A significant signal is observed in the
$\bar{B^0} \to D_{sJ}^*(2317)^+ K^-$ decay channel with ${\cal B}(\bar{B^0} \to
D_{sJ}^*(2317)^+ K^-) \times {\cal B} (D_{sJ}^*(2317)^+ \to D_s^+ \pi^0) =
(5.3^{+1.5}_{-1.3} \pm 0.7 \pm 1.4) \times 10^{-5}$. No signals are observed in
the $\bar{B^0} \to D_{sJ}^*(2317)^- \pi^+$, $\bar{B^0} \to D_{sJ}(2460)^+ K^-$
and $\bar{B^0} \to D_{sJ}(2460)^- \pi^+$ decay modes, and upper limits are
obtained. The analysis is based on a dataset of 140 fb$^{-1}$ collected by the
Belle experiment at the asymmetric $e^+ e^-$ collider KEKB.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 23:45:30 GMT""},{""version"":""v2"",""created"":""Thu, 18 Nov 2004 20:44:30 GMT""},{""version"":""v3"",""created"":""Fri, 11 Feb 2005 00:37:54 GMT""}]","2019-08-14"
"hep-lat/0409022","Alessandro Papa","Pietro Giudice and Alessandro Papa","Finite temperature 2-color QCD for real and imaginary chemical potential","Poster presented at Lattice2004(non-zero), Fermilab, 21-26 June 2004;
  3 pages, 4 figures, uses espcrc2.sty",,"10.1016/j.nuclphysbps.2004.11.322",,"hep-lat",,"  In this work we study the finite temperature SU(2) gauge theory with
staggered fermions for real and imaginary chemical potential. We test the
method of analytical continuation of Monte Carlo results obtained for imaginary
chemical potential, by comparison with those obtained {\em directly} for real
chemical potential.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 17:20:38 GMT""}]","2009-11-10"
"hep-lat/0409023","Michael Engelhardt","Michael Engelhardt","Generation of confinement and other nonperturbative effects by infrared
  gluonic degrees of freedom","15 pages (14 if you use the original espcrc2.sty instead of the
  hypertex-compatible local version), 4 figures containing 7 postscript files,
  talk presented at Lattice2004(plenary), Fermilab, June 21-26, 2004. Replaced
  version contains an additional reference and a corresponding comment",,"10.1016/j.nuclphysbps.2004.11.335",,"hep-lat",,"  Recent progress in understanding the emergence of confinement and other
nonperturbative effects in the strong interaction vacuum is reviewed. Special
emphasis is placed on the role of different types of collective infrared
gluonic degrees of freedom in this respect. After a survey of complementary
approaches, models of the QCD vacuum based on center vortices, Abelian magnetic
monopoles and topological charge lumps such as instantons, merons and calorons
are examined. Both the physical mechanisms governing these models as well as
recent lattice studies of the respective degrees of freedom are reviewed.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 17:33:02 GMT""},{""version"":""v2"",""created"":""Thu, 9 Sep 2004 00:24:16 GMT""}]","2009-11-10"
"hep-lat/0409024","Alessandro Papa","Roberto Fiore, Pietro Giudice and Alessandro Papa","Numerical test of Polyakov loop models in high temperature SU(2)","Poster presented at Lattice2004(non-zero), Fermilab, June 21-26,
  2004; 3 pages, 4 figures, uses espcrc2.sty",,"10.1016/j.nuclphysbps.2004.11.371",,"hep-lat",,"  We study the compatibility of effective mean-field models of the Polyakov
loop for the deconfined phase of SU(N) pure gauge theories with lattice data
obtained for the case of SU(2), in the temperature range T_c - 4.8 T_c.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 17:32:30 GMT""}]","2009-11-10"
"hep-lat/0409025","Arwed Schiller","M. G\""ockeler, R. Horsley, H. Perlt, P. E. L. Rakow, A. Sch\""afer, G.
  Schierholz, A. Schiller","One-loop renormalisation for the second moment of GPDs with Wilson
  fermions","Lattice 2004(improved), 3 pages, LaTeX style file, espcrc2.sty
  included","Nucl.Phys.Proc.Suppl.140:722-724,2005","10.1016/j.nuclphysbps.2004.11.351","DESY 04-165, Edinburgh 2004/15, LU-ITP 2004/020, LTH 632","hep-lat",,"  We calculate the non-forward quark matrix elements for operators with two
covariant derivatives in one-loop lattice perturbation theory using Wilson
fermions. These matrix elements are needed in the renormalisation of the second
moment of generalised parton distributions measured in lattice QCD. For some
commonly used representations of the hypercubic group we determine the sets of
all mixing operators and find the matrices of mixing and renormalisation
factors.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 08:08:21 GMT""}]","2008-11-26"
"hep-lat/0409026","Carlos Roberto Pena Ruano","P. Dimopoulos, J. Heitger, C. Pena, S. Sint and A. Vladikas","Precision computation of B_K in quenched lattice QCD","3 pages, 3 figures, talk presented at Lattice2004(weak), Fermilab,
  June 21-26, 2004",,,"ROM2F/2004/25, MS-TP-04-23, DESY 04-145, FTUAM-04-20","hep-lat",,"  We present the results of a precision computation of B_K with Wilson
fermions. Simulations are performed at different lattice spacings, enabling
continuum limit extrapolations. Two different twisted mass QCD (tmQCD)
regularisations are considered for the computation of bare matrix elements. In
both cases the relevant four-fermion operator renormalises multiplicatively. In
one regularisation it is possible to perform the computation directly at the
physical kaon mass value, thus avoiding extrapolations in the mass.
Nonperturbative renormalisation is carried out using available Schroedinger
Functional results.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 09:17:08 GMT""}]","2007-05-23"
"hep-lat/0409027","Christopher Aubin","C. Aubin and C. Bernard","Staggered Chiral Perturbation Theory with Heavy-Light Mesons","Talk given at Lattice 2004 (heavy), 3 pgs, 2 figures",,"10.1016/j.nuclphysbps.2004.11.167",,"hep-lat",,"  We merge heavy quark effective theory with staggered chiral perturbation
theory to calculate heavy-light (B, D) meson quantities. We present results at
NLO for the $B(D)$ meson decay constant in the partially quenched and full QCD
cases, and discuss the calculation of the form factors for $B(D) \to \pi(K)
\ell \nu$ decays.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 13:27:48 GMT""}]","2009-11-10"
"hep-lat/0409028","Martin Weigel","Martin Weigel and Wolfhard Janke","The F model on dynamical quadrangulations","LaTeX, 43 pages, 10 figures, 7 tables; substantially shortened and
  revised version as published, for more details refer to V1, to be found at
  http://arxiv.org/abs/hep-lat/0409028v1","Nucl.Phys. B719 (2005) 312-346","10.1016/j.nuclphysb.2005.04.041","LU-ITP 2004/024","hep-lat cond-mat.stat-mech",,"  The dynamically triangulated random surface (DTRS) approach to Euclidean
quantum gravity in two dimensions is considered for the case of the elemental
building blocks being quadrangles instead of the usually used triangles. The
well-known algorithmic tools for treating dynamical triangulations in a Monte
Carlo simulation are adapted to the problem of these dynamical
quadrangulations. The thus defined ensemble of 4-valent graphs is appropriate
for coupling to it the 6- and 8-vertex models of statistical mechanics. Using a
series of extensive Monte Carlo simulations and accompanying finite-size
scaling analyses, we investigate the critical behaviour of the 6-vertex F model
coupled to the ensemble of dynamical quadrangulations and determine the matter
related as well as the graph related critical exponents of the model.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 14:17:18 GMT""},{""version"":""v2"",""created"":""Mon, 18 Jul 2005 20:08:30 GMT""}]","2009-11-10"
"hep-ph/0409065","Robert Jaffe","R. L. Jaffe","Exotica","Abstract and Introduction modified for publication in Physics
  Reports. Typographical corrections. 34 pages, 14 figures, 4 tables; These
  notes are a distillation of talks presented at QM2004, Berkeley, CA, January
  2004; Multiquark Hadrons: Four, Five and More?, Kyoto, Japan, February 2004;
  Continuous Advances in QCD 2004, Minneapolis, MN, May 2004; the JLab Annual
  Users Meeting, June 2004; BEACH'04, Chicago, IL, June 2004; and The Workshop
  on Strings & QCD, Trento, Italy, July 2004, and elsewhere","Phys.Rept.409:1-45,2005","10.1016/j.physrep.2004.11.005","MIT-CTP-3538","hep-ph hep-ex nucl-th",,"  The first evidence for Quantum Chromodynamics (QCD), the theory of the strong
interactions, came from the systematics of baryon and meson spectroscopy. An
important early observation was the apparent absence of exotics, baryons
requiring more than three quarks or mesons requiring more than quark-antiquark.
Years later, QCD is well established, hadron spectroscopy has been relatively
inactive, but the absence of exotics remains poorly understood. The recent
observation of narrow, prominent exotic baryons has stirred up new interest in
hadron spectroscopy. At present the experimental situation is confused; so is
theory. The recent discoveries are striking. So too is the complete absence of
exotic mesons, and, except for the recent discoveries, of exotic baryons as
well. Whether or not the new states are confirmed, the way we look at
complicated states of confined quarks and gluons has changed. Perhaps the most
lasting result, and the one emphasized in these notes, is a new appreciation
for the role of diquark correlations in QCD.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 18:06:45 GMT""},{""version"":""v2"",""created"":""Mon, 25 Oct 2004 15:30:17 GMT""}]","2011-06-09"
"hep-ph/0409075","Ernest Ma","Ernest Ma (UC Riverside)","Non-Abelian Discrete Family Symmetries of Leptons and Quarks","16 pages, no figure, talk at SI2004, Fuji-Yoshida, Japan",,,"UCRHEP-T379 (Sep 2004)","hep-ph",,"  Recent progress is reviewed regarding the application of the non-Abelian
symmetries S_3, D_4, and A_4 to the understanding of family structure in
leptons and quarks.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:11:08 GMT""}]","2007-05-23"
"hep-ph/0409076","Zsolt Szep","A. Jakovac, A. Patkos, Zs. Szep, P. Szepfalusy","The nature of the soft excitation at the critical end point of QCD","5 pages, 2 figures, presented at the conference Strong and
  Electroweak Matter 2004 (SEWM04), Helsinki, Finland, 16-19 June 2004",,"10.1142/9789812702159_0023",,"hep-ph",,"  Using a large flavor number expansion and a gap equation for the pion mass
the chiral quark-meson model is solved at the lowest order in the fermion
contributions. In the chiral limit the tricritical point (TCP) is determined
analytically. The softening of the sigma particle is verified at this point and
is further investigated for a physical pion mass in the neighbourhood of the
critical endpoint (CEP).
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:40:51 GMT""}]","2017-08-23"
"hep-ph/0409077","Boris Kopeliovich","C. Ciofi degli Atti and B.Z. Kopeliovich","Time Evolution of Hadronization and Grey Tracks in DIS off Nuclei","10 pages, 2 figures","Phys.Lett. B606 (2005) 281-287","10.1016/j.physletb.2004.12.021",,"hep-ph nucl-th",,"  The analysis of the grey tracks produced in Deep Inelastic Scattering (DIS)
off nuclei provides important information on the space-time development of
hadronization in nuclear medium. This method is complementary to the
measurement of nuclear attenuation of leading inclusive hadrons. While the
latter is focused on the hadronization dynamics for the quite rare process of
leading hadrons production, the former covers the main bulk of inelastic
events, and its Q^2 dependence is a very sensitive tool to discriminate between
different models of hadronization. Employing the model of perturbative
hadronization developed earlier, we calculate the Q^2 and x_{Bj} dependences of
the number of collisions and relate it to the mean number of grey tracks, using
an empirical relation obtained from the analysis of data from the Fermilab E665
experiment on DIS of muons off the Xe nucleus. We found the number of grey
tracks to rise steeply with Q^2 in good agreement with the experimental data.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 17:45:38 GMT""}]","2009-11-10"
"hep-ph/0409078","Marc Vanderhaeghen","W.-T. Chiang, M. Vanderhaeghen, S. N. Yang, D. Drechsel","Unitary model for the $\gamma p \to \gamma \pi^0 p$ reaction and the
  magnetic dipole moment of the $\Delta^+(1232)$","23 pages, 18 figures","Phys.Rev.C71:015204,2005","10.1103/PhysRevC.71.015204",,"hep-ph",,"  Radiative pion photoproduction in the $\Delta(1232)$ resonance region is
studied with the aim to access the $\Delta^+(1232)$ magnetic dipole moment. We
present a unitary model of the $\gamma p \to \gamma \pi N$ ($\pi N = \pi^0 p,
\pi^+ n$) reactions, where the $\pi N$ rescattering is included in an on-shell
approximation. In this model, the low energy theorem which couples the $\gamma
p \to \gamma \pi N$ process in the limit of a soft final photon to the $\gamma
p \to \pi N$ process is exactly satisfied. We study the sensitivity of the
$\gamma p \to \gamma \pi^0 p$ process at higher values of the final photon
energy to the $\Delta^+(1232)$ magnetic dipole moment. We compare our results
with existing data and give predictions for forthcoming measurements of angular
and energy distributions. It is found that the photon asymmetry and a helicity
cross section are particularly sensitive to the $\Delta^+$ magnetic dipole
moment.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 17:47:52 GMT""}]","2014-11-18"
"hep-ph/0409079","Boris Kopeliovich","B.Z. Kopeliovich","PCAC and Shadowing of Low Energy Neutrinos","6 pages, 5 figures. Invited talk at NUINT04,Gran Sasso, March 17-21,
  2004","Nucl. Phys. Proc. Suppl. 139(2005)219","10.1016/j.nuclphysbps.2004.11.222",,"hep-ph nucl-th",,"  The Adler relation between reactions initiated by neutrinos and pions is easy
to misinterpret as a manifestation of the pion pole dominance. An axial
current, however, cannot fluctuate into a pion, but only to heavy axial-vector
states, since the lepton current is transverse. This is the miracle of the PCAC
hypothesis which dictates a specific conspiracy between the heavy fluctuations,
so that all together they mock the pion pole. Indeed, the observed Q^2
dependence of the axial form factor is controlled by the effective mass m_A
\sim 1 GeV, rather than the pion mass. On the contrary, the onset of nuclear
shadowing is governed by the small pion mass, rather than by the large axial
mass scale. This is in variance with the conventional wisdom which equates the
fluctuation lifetime and the coherence time. For the case of axial current they
are different by almost two orders of magnitude. As a result, neutrino
interactions are shadowed at very low energies of few hundred MeV, while energy
of about 10 GeV is needed to access nuclear shadowing for the vector current.
On the contrary to naive expectations, nuclear absorption enhances, rather than
suppresses the cross section of coherent neutrino-production of pions which is
the strongest channel (half of the total cross section) in the black disc
limit.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 18:01:39 GMT""}]","2009-11-10"
"hep-ph/0409080","Alexander Khodjamirian","Christine Bruch, Alexander Khodjamirian, Johann H.Kuhn","Modeling the Pion and Kaon Form Factors in the Timelike Region","31 pages, 7 figures,latex, one reference changed, version to appear
  in Eur.Phys.J C","Eur.Phys.J. C39 (2005) 41-54","10.1140/epjc/s2004-02064-3","TTP04-20, SI-HEP-2004-09","hep-ph",,"  New, accurate measurements of the pion and kaon electromagnetic form factors
are expected in the near future from experiments at electron-positron
colliders,using the radiative return method. We construct a model for the
timelike pion electromagnetic form factor, that is valid also at momentum
transfers far above the $\rho$ resonance. The ansatz is based on vector
dominance and includes a pattern of radial excitations expected from dual
resonance models.The form factor is fitted to the existing data in the timelike
region, continued to the spacelike region and compared with the measurements
there and with the QCD predictions. Furthermore, the model is extended to the
kaon electromagnetic form factor. Using isospin and SU(3)-flavour symmetry
relations we extract the isospin-one contribution and predict the kaon weak
form factor accessible in semileptonic $\tau$ decays.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 18:49:41 GMT""},{""version"":""v2"",""created"":""Sat, 18 Dec 2004 16:25:20 GMT""}]","2015-06-25"
"hep-ph/0409081","Chung Wen Kao","Chung-wen Kao, Blaine E. Norum and Kebin Wang","Extraction of the charged pion polarizabilities from radiative charged
  pion photoproduction in Heavy Baryon Chiral Perturbation Theory","14pages, 11 figures","Phys.Rev.D79:054001,2009",,,"hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We analyze the amplitude of radiative charged pion photoproduction within the
framework of heavy baryon chiral perturbation theory (HBChPT) and discuss the
best experimental setup for the extraction of the charged pion polarizabilities
from the differential cross section. We find that the contributions from two
unknown low energy constants(LECs) in the $\pi N$ chiral Lagrangian at order
$p^{3}$ are comparable with the contributions of the charged pion
polarizabilities. As a result, it is necessary to take these two LECs' effects
into account. Furthermore, we discuss the applicability of the extrapolation
method and conclude that this method is applicable only if the polarization
vector of the incoming photon is perpendicular to the scattering plane in the
center of mass frame of the final $\gamma-\pi$ system.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 20:18:26 GMT""},{""version"":""v2"",""created"":""Sat, 29 Nov 2008 14:40:00 GMT""},{""version"":""v3"",""created"":""Thu, 22 Jan 2009 09:10:06 GMT""},{""version"":""v4"",""created"":""Wed, 4 Mar 2009 15:36:01 GMT""}]","2009-08-21"
"hep-ph/0409082","Yoshiharu Kawamura","Yoshiharu Kawamura","Equivalence Classes in Gauge Theory on the Orbifold $S^1/Z_2$","4 pages, Talk given at the 12th International Conference on
  Supersymmetry and Unification of Fundamental Interactions (SUSY 2004) June
  17-23, 2004, Tsukuba, Japan",,,,"hep-ph",,"  After a brief review of orbifold grand unified theory, we discuss two topics
related to the choice of boundary conditions on the orbifold $S^1/Z_2$:
dynamical rearrangement of gauge symmetry and equivalence classes of boundary
conditions.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 01:46:57 GMT""}]","2009-09-29"
"hep-ph/0409083","Eri Asakawa","Eri Asakawa","Studying Higgs bosons by top pair production at photon colliders","3 pages, 1 figures, to appear in the proceedings of the International
  Conference on Linear Colliders (LCWS 04), Paris, April 19-23, 2004",,,"KEK-TH-979","hep-ph",,"  We study the effect of heavy neutral Higgs bosons on the top pair production
process at photon linear colliders.The interference patterns betwenn the
resonant Higgs production amplitudes and the continuum QED amplitudes are
examined. The patterns are sensitive to the phase of the photon-photon-Higgs
vertex which is a good probe of new charged particles.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 06:14:28 GMT""}]","2007-05-23"
"hep-ph/0409084","Mitsuo J. Hayashi","Mitsuo J. Hayashi and Tomoki Watanabe","Dilatonic Inflation and SUSY Breaking in Modular-Invariant Supergravity","4pages, 4 eps figures, talk at ICHEP2004, Aug. 16-22, 2004, Beijing",,"10.1142/9789812702227_0062",,"hep-ph",,"  The theory of inflation will be investigated as well as supersymmetry
breaking in the context of supergravity, incorporating the target-space duality
and the non-perturbative gaugino condensation in the hidden sector. The
inflation and supersymmetry breaking occur at once by the interplay between the
dilaton field as inflaton and the condensate gauge-singlet field. The model
satisfies the slow-roll condition which solves the eta-problem. When the
particle rolls down along the minimized trajectry of the potential V(S,Y) at a
duality invariant fixed point T=1, we can obtain the e-fold value \sim 57. And
then the cosmological parameters obtained from our model well match with the
recent WMAP data combined with other experiments. This observation is
suggesting to consider the string-inspired supergravity as the fundamental of
the theory of the evolution of the universe as well as the particle theory.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 06:20:46 GMT""}]","2017-08-23"
"hep-ph/0409085","Marina Markina","B.L.Ioffe","Chiral phase transition in hadronic matter at non-zero baryon density","9 pages, 6 figures, Invited talk at 13-th International Seminar
  ""Quarks-2004"",Pushkinskie Gory, May 24-30, 2004, to be published in the
  Proceedings. v2. References are corrected",,,,"hep-ph",,"  A qualitative analysis of the chiral phase transition in QCD at non--zero
baryon density is performed. It is assumed that at zero baryonic density,
$\rho=0$, the temperature phase transition is of the second order and quark
condesate $\eta= \mid < 0\mid \bar{u} u\mid 0> \mid =\mid< 0 \mid \bar{d}d\mid
0 >\mid $ may be taken as order parameter of phase transition. It is
demonstrated, that the proportionality of baryon masses to quark condensate in
the power 1/3, $m_B \sim \mid < 0 \mid {\bar q} q \mid 0 > \mid^{1/3}$ is valid
in the wide interval of quark condensate values. By supposing, that such
specific dependence of baryon masses on quark condensate takes place up to
phase transition point, it is shown, that at finite baryon density $\rho$ the
phase transition becomes of the first order at the temperature
$T=T_{\mathrm{ph}}(\rho)$ for $\rho>0$. At temperatures
$T_{\mathrm{cont}}(\rho) > T > T_{\mathrm{ph}}(\rho)$ there is a mixed phase
consisting of the quark phase (stable) and the hadron phase (unstable). At the
temperature $T = T_{\mathrm{cont}}(\rho)$ the system experiences a continuous
transition to the pure chirally symmetric phase.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 08:59:09 GMT""},{""version"":""v2"",""created"":""Mon, 13 Sep 2004 12:51:46 GMT""}]","2007-05-23"
"hep-ph/0409086","Athanasios Dedes Dr","Athanasios Dedes","(Pseudo) Dirac neutrino masses in Supergravity","4 pages, Talk given at SUSY 2004, June 17-23, 2004, Tsukuba, Japan",,,"IPPP/04/56, DCPT/04/112","hep-ph",,"  In this talk, we discuss the idea of how Dirac or Pseudo-Dirac neutrino
masses arise naturally with a correct size, after the breaking of local N=1
supersymmetry.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 10:38:20 GMT""}]","2007-05-23"
"hep-ph/0409087","T. Lappi","T. Lappi","Classical fields and heavy ion collisions","10 pages, 4 figures. Invited talk at the conference Strong and
  Electroweak Matter, Helsinki, June 2004 (SEWM 2004)",,"10.1142/9789812702159_0010","HIP-2004-41/TH","hep-ph nucl-th",,"  This is a review of numerical applications of classical gluodynamics to heavy
ion collisions. We recall some results from calculations of gluon production,
discuss their implications for heavy ion phenomenology, and outline a strategy
to calculate the number of quark pairs produced by these classical fields.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 12:57:21 GMT""}]","2017-08-23"
"hep-ph/0409088","Frank J. Petriello","Charalampos Anastasiou, Kirill Melnikov, Frank Petriello","Higgs boson production at hadron colliders: differential cross sections
  through next-to-next-to-leading order","4 pgs, 2 figs; references added","Phys.Rev.Lett.93:262002,2004","10.1103/PhysRevLett.93.262002",,"hep-ph hep-ex",,"  We present a calculation of the fully differential cross section for Higgs
boson production in the gluon fusion channel through next-to-next-to-leading
order in perturbative QCD. We apply the method introduced in
\cite{Anastasiou:2003gr} to compute double real emission corrections. Our
calculation permits arbitrary cuts on the final state in the reaction $hh \to H
+ X$. It can be easily extended to include decays of the Higgs boson into
observable final states. In this Letter, we discuss the most important features
of the calculation, and present some examples of physical applications that
illustrate the range of observables that can be studied using our result. We
compute the NNLO rapidity distribution of the Higgs boson, and also calculate
the NNLO rapidity distribution with a veto on jet activity.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 13:15:45 GMT""},{""version"":""v2"",""created"":""Tue, 28 Sep 2004 14:17:16 GMT""}]","2010-04-06"
"hep-ph/0409089","Docteur Marc Knecht","Marc Knecht (CPT)","Chiral perturbation theory confronted with experiment","Talk given at the DAPHNE 2004 Workshop, Frascati, June 7 - 11, 2004;
  9 pages, uses frascatiphys.sty",,,"CPT-2004/P.043","hep-ph hep-ex hep-lat",,"  The general framework and the present status of the low energy theory of the
standard model are briefly reviewed. Recent applications to a few topic of
interest for the determinations of Vud and of Vus are discussed
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 13:41:20 GMT""},{""version"":""v2"",""created"":""Tue, 12 Oct 2004 14:42:36 GMT""}]","2007-05-23"
"hep-ph/0409090","Gert Aarts","Gert Aarts and Jose M. Martinez Resco (Ohio State)","Transport coefficients and the 2PI effective action in the large N limit","10 pages, based on presentations at Strong and Electroweak Matter
  (SEWM04), Helsinki, Finland, June 16-19 2004, and the Workshop on QCD in
  Extreme Environments, Argonne National Laboratory, USA, June 29-July 3 2004",,"10.1142/9789812702159_0030",,"hep-ph nucl-th",,"  We discuss the computation of transport coefficients in large N_f QCD and the
O(N) model for massive particles. The calculation is organized using the 1/N
expansion of the 2PI effective action to next-to-leading order. For the gauge
theory, we verify gauge fixing independence and consistency with the Ward
identity. In the gauge theory, we find a nontrivial dependence on the fermion
mass.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 13:53:43 GMT""}]","2017-08-23"
"hep-ph/0409091","Stefano Pozzorini","S. Pozzorini","Next-to-leading electroweak logarithms at two loops","4 pages. Talk given at the LCWS Paris, France, April 2004",,,"TTP04-21, SFB/CPP-04-42","hep-ph",,"  We review a recent calculation of the two-loop next-to-leading logarithmic
electroweak corrections to the form factors for massless chiral fermions
coupling to an SU(2)xU(1) singlet gauge boson.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 14:45:32 GMT""}]","2007-05-23"
"hep-ph/0409092","Daniel Gomez Dumm","Daniel Gomez Dumm","QCD phase diagram in nonlocal chiral quark models","5 pages, 2 figures, contribution to the proceedings of Strong and
  Electroweak Matter 2004 (SEWM04), Helsinki, Finland, 16-19 June 2004",,,,"hep-ph",,"  The QCD phase diagram is analyzed within chiral quark models with nonlocal
separable interactions. For the case of two light flavors, we describe in
detail the characteristics of the chiral phase transition in the T-mu plane,
and analyze the color superconducting phase transition taking place at
relatively large chemical potentials. We also consider the three-flavor version
of the models, analyzing the predictions for masses and decay constants of
light pseudoscalar mesons.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 15:18:42 GMT""}]","2007-05-23"
"hep-ph/0409093","Carlos Garcia Canal","C.A. Garcia Canal","Summary of the Latin American Workshop on Fundamental Interactions","10 pages",,,,"hep-ph",,"  Summary of the Latin American Workshop on Fundamental Interactions held at
the Physics Department of the Universidad de Buenos Aires from 26 to 30 July
2004.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 15:37:03 GMT""}]","2007-05-23"
"hep-th/0409071","Simeon Hellerman","Simeon Hellerman, Xiao Liu","Dynamical Dimension Change in Supercritical String Theory","36 pages, 3 figures, typos corrected",,,,"hep-th",,"  We study tree-level solutions to heterotic string theory in which the number
of spacetime dimensions 10+n changes dynamically due to closed string tachyon
condensation. Taking the large-n limit, we compute the amount by which the
dilaton gradient changes during the condensation process. At leading order in n
we find that the change in the invariant magnitude of the dilaton gradient
compensates the change in spacelike central charge on the worldsheet, so that
the total worldsheet central charges are equal at early and late times. This
result supports our interpretation of the worldsheet theory as a CFT of
critical central charge which describes a dynamical reduction in the total
number of spacetime dimensions.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 18:46:55 GMT""},{""version"":""v2"",""created"":""Tue, 7 Sep 2004 22:45:11 GMT""}]","2007-05-23"
